parameters,values
posterior_day_3,10.0
posterior_day_3,8.064905166625977
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,1.1687126159667969
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,4.10252571105957
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-10.0
posterior_day_3,10.0
posterior_day_3,8.762262344360352
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,1.5467357635498047
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.714201927185059
posterior_day_3,7.822100639343262
posterior_day_3,1.8968639373779297
posterior_day_3,5.602612495422363
posterior_day_3,9.591903686523438
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,8.925875663757324
posterior_day_3,9.456331253051758
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-10.0
posterior_day_3,-1.2416973114013672
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.225714683532715
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,4.955781936645508
posterior_day_3,7.627907752990723
posterior_day_3,3.645602226257324
posterior_day_3,-0.3449440002441406
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,2.4741344451904297
posterior_day_3,9.330286979675293
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,0.8949728012084961
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,8.968043327331543
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,1.1024980545043945
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,4.485160827636719
posterior_day_3,8.85116958618164
posterior_day_3,3.5387067794799805
posterior_day_3,10.0
posterior_day_3,1.145517349243164
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.335125923156738
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,2.396678924560547
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.025456428527832
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.596489906311035
posterior_day_3,4.005989074707031
posterior_day_3,-1.8237648010253906
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-7.622043609619141
posterior_day_3,10.0
posterior_day_3,8.644481658935547
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,2.7067346572875977
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-9.208258628845215
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.84200382232666
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.892332077026367
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,5.309724807739258
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.908472061157227
posterior_day_3,10.0
posterior_day_3,9.79747486114502
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-4.878698348999023
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,2.6395263671875
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,0.7793989181518555
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.444291114807129
posterior_day_3,10.0
posterior_day_3,4.858592987060547
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.129409790039062
posterior_day_3,4.567143440246582
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.375746726989746
posterior_day_3,-1.432891845703125
posterior_day_3,10.0
posterior_day_3,-5.350566864013672
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.007420539855957
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,2.44744873046875
posterior_day_3,10.0
posterior_day_3,1.6104612350463867
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-6.396036148071289
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.55482006072998
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,4.859508514404297
posterior_day_3,10.0
posterior_day_3,6.673954963684082
posterior_day_3,10.0
posterior_day_3,8.733977317810059
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-3.273021697998047
posterior_day_3,3.857685089111328
posterior_day_3,8.086342811584473
posterior_day_3,10.0
posterior_day_3,7.840812683105469
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-3.380544662475586
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,5.36995792388916
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.556136131286621
posterior_day_3,0.6345844268798828
posterior_day_3,-10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.023795127868652
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,5.023629188537598
posterior_day_3,10.0
posterior_day_3,-2.395719528198242
posterior_day_3,10.0
posterior_day_3,-0.3042106628417969
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,7.032519340515137
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.079628944396973
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,4.04197883605957
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.0892248153686523
posterior_day_3,4.991443634033203
posterior_day_3,10.0
posterior_day_3,5.0101423263549805
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,7.409355163574219
posterior_day_3,10.0
posterior_day_3,-3.7149295806884766
posterior_day_3,10.0
posterior_day_3,4.046934127807617
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,7.639787673950195
posterior_day_3,9.575181007385254
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-2.6420021057128906
posterior_day_3,7.973596096038818
posterior_day_3,1.411360263824463
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-0.9659996032714844
posterior_day_3,0.7236747741699219
posterior_day_3,0.2167339324951172
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.118788719177246
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,2.578866958618164
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,0.3231067657470703
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.771601676940918
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-9.162551879882812
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-1.8191967010498047
posterior_day_3,6.244714736938477
posterior_day_3,10.0
posterior_day_3,9.540514945983887
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-5.60280704498291
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,4.894467353820801
posterior_day_3,10.0
posterior_day_3,9.75790023803711
posterior_day_3,10.0
posterior_day_3,-1.8683204650878906
posterior_day_3,10.0
posterior_day_3,7.124874114990234
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,2.234455108642578
posterior_day_3,6.519362449645996
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,5.371218681335449
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.342745780944824
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-0.45001697540283203
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,7.269064903259277
posterior_day_3,8.692242622375488
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-4.907310485839844
posterior_day_3,9.332513809204102
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.234146118164062
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,8.667255401611328
posterior_day_3,8.444863319396973
posterior_day_3,9.665060997009277
posterior_day_3,10.0
posterior_day_3,9.153826713562012
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,5.25740909576416
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.7797794342041016
posterior_day_3,5.596875190734863
posterior_day_3,10.0
posterior_day_3,6.4074506759643555
posterior_day_3,10.0
posterior_day_3,9.039941787719727
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.109705924987793
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.6064491271972656
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-0.5742092132568359
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.458375930786133
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.8892974853515625
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.5612640380859375
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.124307632446289
posterior_day_3,10.0
posterior_day_3,8.782142639160156
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,8.718377113342285
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,4.5490570068359375
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.435769081115723
posterior_day_3,0.30570220947265625
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.611276626586914
posterior_day_3,9.310163497924805
posterior_day_3,10.0
posterior_day_3,9.510761260986328
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,8.310982704162598
posterior_day_3,10.0
posterior_day_3,1.576986312866211
posterior_day_3,10.0
posterior_day_3,-0.11141014099121094
posterior_day_3,10.0
posterior_day_3,3.3671646118164062
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-0.23362350463867188
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,8.266898155212402
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.746277809143066
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,4.132454872131348
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-9.788013458251953
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-5.019254684448242
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-4.904516220092773
posterior_day_3,10.0
posterior_day_3,-7.204439163208008
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-0.40059661865234375
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-6.539268493652344
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,2.4834413528442383
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,2.2946529388427734
posterior_day_3,5.078392028808594
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-1.474233627319336
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,9.788049697875977
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-1.1738548278808594
posterior_day_3,9.170762062072754
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,4.744965553283691
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.5012006759643555
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-3.7298660278320312
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,7.124136924743652
posterior_day_3,10.0
posterior_day_3,0.6702356338500977
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.148228645324707
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,7.001964569091797
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,6.893726348876953
posterior_day_3,5.180278778076172
posterior_day_3,10.0
posterior_day_3,6.07401180267334
posterior_day_3,10.0
posterior_day_3,6.542381286621094
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,5.414608955383301
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,1.4591083526611328
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-5.310842514038086
posterior_day_3,10.0
posterior_day_3,3.289517402648926
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,7.043440818786621
posterior_day_3,10.0
posterior_day_3,9.565168380737305
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-10.0
posterior_day_3,0.7945442199707031
posterior_day_3,6.484584808349609
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,8.194170951843262
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,7.95290470123291
posterior_day_3,10.0
posterior_day_3,2.1294021606445312
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,5.832477569580078
posterior_day_3,9.669981002807617
posterior_day_3,10.0
posterior_day_3,-1.04376220703125
posterior_day_3,7.191245079040527
posterior_day_3,10.0
posterior_day_3,0.5677852630615234
posterior_day_3,10.0
posterior_day_3,0.7356100082397461
posterior_day_3,3.541670799255371
posterior_day_3,6.4538116455078125
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,3.0528154373168945
posterior_day_3,7.854339599609375
posterior_day_3,8.147744178771973
posterior_day_3,10.0
posterior_day_3,-4.102941513061523
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,2.660935401916504
posterior_day_3,10.0
posterior_day_3,-3.1837244033813477
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,8.112780570983887
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,0.03589630126953125
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,0.5136175155639648
posterior_day_3,10.0
posterior_day_3,9.575233459472656
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-0.9494075775146484
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,-3.5060596466064453
posterior_day_3,10.0
posterior_day_3,10.0
posterior_day_3,10.0
day_3 *,37.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,-10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
prior_day_4,10.0
